ENSG00000000003	0	,	0	,	0	0
ENSG00000000005	0	,	0	,	0	0
ENSG00000000419	5	,0.0008,0.0008,0.0008,0.0008,0.0008,	2	,0.0015,0.0166,	1	1
ENSG00000000457	13	,0.0008,0.1256,0.0008,0.7148,0.0008,0.0015,0.0045,0.0023,0.0008,0.0038,0.0008,0.0015,0.0008,	14	,0.1316,0.0061,0.0023,0.0068,0.0076,0.0008,0.003,0.0076,0.0174,0.0567,0.0038,0.0272,0.0008,0.0015,	6	1
ENSG00000000460	14	,0.0008,0.0038,0.0015,0.0658,0.0008,0.0008,0.0076,0.0008,0.0008,0.0008,0.0008,0.0068,0.0008,0.0023,	9	,0.003,0.087,0.0106,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,	4	8
ENSG00000000938	4	,0.0023,0.0008,0.0015,0.0008,	9	,0.0008,0.0008,0.0023,0.0008,0.0083,0.0008,0.0015,0.0083,0.0008,	0	4
ENSG00000000971	30	,0.0008,0.0008,0.2088,0.0015,0.0008,0.3623,0.0008,0.0008,0.0719,0.0008,0.0673,0.0008,0.003,0.0008,0.0008,0.0008,0.0023,0.2254,0.0008,0.0378,0.6876,0.0098,0.0015,0.0333,0.0008,0.087,0.0015,0.118,0.9992,0.0008,	16	,0.0688,0.9992,0.5688,0.0023,0.5265,0.0673,0.0023,0.0378,0.0008,0.0008,0.0015,0.0015,0.0008,0.0008,0.0272,0.0068,	9	9
ENSG00000001036	10	,0.0091,0.0076,0.1233,0.3396,0.0008,0.0008,0.0008,0.0144,0.0015,0.0008,	5	,0.5204,0.0242,0.0076,0.0053,0.0061,	0	2
ENSG00000001084	4	,0.0008,0.0015,0.0356,0.0008,	5	,0.0204,0.0015,0.0008,0.0348,0.0023,	1	1
ENSG00000001167	3	,0.0008,0.0008,0.0045,	5	,0.0408,0.0015,0.0008,0.0008,0.0008,	0	3
ENSG00000001460	16	,0.003,0.0008,0.0008,0.0008,0.0038,0.9985,0.0008,0.0008,0.3086,0.0121,0.2277,0.0008,0.1906,0.0008,0.0008,0.0008,	7	,0.0008,0.0023,0.0756,0.5106,0.0053,0.0008,0.0961,	0	2
ENSG00000001461	11	,0.0015,0.0008,0.0008,0.0008,0.0008,0.0008,0.0038,0.1589,0.0008,0.0008,0.0008,	3	,0.0008,0.0023,0.0219,	2	3
ENSG00000001497	0	,	0	,	0	0
ENSG00000001561	7	,0.003,0.0061,0.2186,0.0015,0.0234,0.0008,0.0015,	4	,0.0008,0.0061,0.1339,0.0008,	0	0
ENSG00000001617	17	,0.1566,0.0023,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0015,0.0008,0.0008,0.0008,0.413,0.0008,0.0008,	14	,0.0015,0.6823,0.0008,0.0008,0.0121,0.0008,0.0008,0.0015,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,	2	3
ENSG00000001626	31	,0.0008,0.0008,0.0189,0.0008,0.0008,0.0008,0.0015,0.0045,0.0008,0.0008,0.0008,0.0023,0.0008,0.0651,0.0008,0.0008,0.0015,0.0008,0.0008,0.0023,0.0008,0.0008,0.0015,0.0008,0.0008,0.0182,0.0008,0.0008,0.0008,0.0023,0.0015,	19	,0.0008,0.0008,0.0008,0.0008,0.0015,0.0038,0.0008,0.0136,0.0023,0.0008,0.7065,0.0023,0.0076,0.0008,0.0008,0.823,0.0023,0.0008,0.7504,	2	3
ENSG00000001629	5	,0.0008,0.0008,0.0023,0.2413,0.0008,	8	,0.0129,0.0015,0.0015,0.0091,0.1513,0.0643,0.0008,0.0076,	1	3
ENSG00000001630	9	,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0076,0.0015,0.0015,	8	,0.0038,0.0053,0.4539,0.0008,0.0061,0.0008,0.0008,0.0008,	2	1
ENSG00000001631	9	,0.0023,0.0008,0.0076,0.0008,0.0008,0.0008,0.0008,0.0008,0.0015,	7	,0.0023,0.1589,0.0008,0.0008,0.0008,0.0008,0.0008,	1	3
ENSG00000002016	9	,0.0008,0.0008,0.0008,0.0008,0.003,0.9675,0.0008,0.0106,0.0023,	1	,0.0008,	8	7
ENSG00000002330	5	,0.0008,0.0008,0.0008,0.0008,0.0008,	2	,0.0068,0.0015,	0	0
ENSG00000002549	8	,0.0015,0.003,0.0015,0.0008,0.0061,0.0008,0.0008,0.0008,	10	,0.0008,0.0008,0.0008,0.0008,0.8396,0.0008,0.2095,0.3268,0.0008,0.8979,	0	4
ENSG00000002586	0	,	0	,	0	0
ENSG00000002587	7	,0.118,0.0008,0.0008,0.0008,0.0008,0.0015,0.0008,	5	,0.0492,0.6808,0.6808,0.0008,0.0015,	1	1
ENSG00000002726	16	,0.0015,0.4387,0.0038,0.0008,0.0008,0.0363,0.0015,0.0008,0.0008,0.0877,0.0008,0.0008,0.4554,0.0197,0.0008,0.003,	16	,0.003,0.0023,0.0023,0.0008,0.034,0.0053,0.0023,0.7436,0.0008,0.0053,0.0008,0.4357,0.0015,0.41,0.5446,0.0008,	4	7
ENSG00000002745	8	,0.0772,0.0008,0.0045,0.0068,0.0272,0.0983000000000001,0.0008,0.0008,	5	,0.0023,0.0008,0.0212,0.0008,0.0166,	0	2
ENSG00000002746	18	,0.0484,0.0008,0.0091,0.0015,0.0477,0.0008,0.0008,0.0038,0.0008,0.0008,0.0008,0.0008,0.0136,0.0008,0.0008,0.0008,0.0023,0.0008,	30	,0.0008,0.0008,0.0008,0.0008,0.0015,0.0008,0.0008,0.0393,0.0008,0.2307,0.0371,0.0008,0.0015,0.0038,0.5098,0.0023,0.0144,0.4811,0.0484,0.0015,0.0635,0.0068,0.9304,0.0045,0.0151,0.0204,0.0068,0.0098,0.0008,0.0189,	1	4
ENSG00000002822	19	,0.0008,0.0008,0.0008,0.0008,0.0015,0.0295,0.0008,0.0008,0.0008,0.0113,0.003,0.0008,0.0008,0.0015,0.0015,0.0015,0.0008,0.0008,0.0008,	16	,0.0008,0.0242,0.0794,0.0008,0.003,0.0008,0.0023,0.0023,0.0008,0.0023,0.0008,0.0537,0.2587,0.0008,0.0008,0.0008,	3	6
ENSG00000002834	1	,0.0008,	9	,0.0023,0.0008,0.1415,0.0825,0.0008,0.1362,0.0151,0.0091,0.0008,	0	1
ENSG00000002919	8	,0.0008,0.0008,0.0008,0.0008,0.003,0.0008,0.0008,0.0015,	3	,0.0008,0.0008,0.0008,	1	0
ENSG00000002933	12	,0.0053,0.0008,0.1354,0.0144,0.0008,0.0015,0.0008,0.0741,0.1694,0.0008,0.2065,0.0015,	3	,0.025,0.1301,0.1271,	1	3
ENSG00000003056	5	,0.0015,0.0008,0.0008,0.0008,0.0008,	1	,0.0008,	0	2
ENSG00000003096	0	,	0	,	0	0
ENSG00000003137	18	,0.9977,0.0008,0.0008,0.0212,0.0651,0.0008,0.0008,0.0023,0.0008,0.0008,0.0008,0.7103,0.0144,0.0008,0.0023,0.0008,0.003,0.0106,	13	,0.0015,0.7821,0.003,0.0015,0.0053,0.0008,0.0008,0.0023,0.0008,0.0182,0.0068,0.0008,0.0008,	0	2
ENSG00000003147	6	,0.0008,0.0008,0.0371,0.0008,0.0038,0.0008,	11	,0.0045,0.0008,0.0008,0.5779,0.0318,0.0008,0.0008,0.0166,0.025,0.0008,0.0008,	3	6
ENSG00000003249	4	,0.0008,0.0008,0.0015,0.0045,	5	,0.0015,0.0008,0.0053,0.0008,0.0015,	8	1
ENSG00000003393	23	,0.0008,0.0015,0.0008,0.0008,0.0053,0.0023,0.0008,0.0008,0.0015,0.0023,0.0008,0.0083,0.0008,0.0008,0.0008,0.0015,0.2436,0.0008,0.0008,0.0008,0.0008,0.0008,0.9592,	20	,0.0204,0.0008,0.0008,0.0008,0.1944,0.0015,0.0008,0.0061,0.0696,0.0015,0.1006,0.0015,0.0008,0.0008,0.0008,0.0008,0.0008,0.0015,0.0008,0.0008,	1	2
ENSG00000003400	8	,0.0008,0.0008,0.0023,0.0008,0.0008,0.0008,0.3328,0.0008,	9	,0.0008,0.5113,0.0008,0.0098,0.0008,0.0008,0.0151,0.0091,0.0076,	6	1
ENSG00000003402	7	,0.0817,0.0008,0.0008,0.0053,0.0015,0.0008,0.0008,	6	,0.0015,0.0008,0.0098,0.0015,0.5386,0.0008,	5	1
ENSG00000003436	2	,0.0068,0.0015,	2	,0.118,0.0008,	0	0
ENSG00000003509	15	,0.0015,0.0015,0.0401,0.2564,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0015,0.0008,0.0008,0.0015,0.0008,	3	,0.9985,0.003,0.0023,	1	0
ENSG00000003756	3	,0.0008,0.0008,0.0008,	12	,0.0008,0.0008,0.0015,0.0023,0.0008,0.2542,0.0015,0.0008,0.2542,0.0257,0.0038,0.0015,	1	2
